Date,Open,Close,High,Low,Volume
21-Sep-17,155.800003,153.389999,155.800003,152.75,37511700
22-Sep-17,151.539993,151.889999,152.270004,150.559998,46645400
25-Sep-17,149.990005,150.550003,151.830002,149.160004,44387300
26-Sep-17,151.779999,153.139999,153.919998,151.690002,36660000
27-Sep-17,153.800003,154.229996,154.720001,153.539993,25504200
28-Sep-17,153.889999,153.279999,154.279999,152.699997,22005500
29-Sep-17,153.210007,154.119995,154.130005,152,26299800
2-Oct-17,154.259995,153.809998,154.449997,152.720001,18698800
3-Oct-17,154.009995,154.479996,155.089996,153.910004,16230300
4-Oct-17,153.630005,153.479996,153.860001,152.460007,20163800
5-Oct-17,154.179993,155.389999,155.440002,154.050003,21283800
6-Oct-17,154.970001,155.300003,155.490005,154.559998,17407600
9-Oct-17,155.809998,155.839996,156.729996,155.490005,16262900
10-Oct-17,156.059998,155.899994,158,155.100006,15617000
11-Oct-17,155.970001,156.550003,156.979996,155.75,16905600
12-Oct-17,156.350006,156,157.369995,155.729996,16125100
13-Oct-17,156.729996,156.990005,157.279999,156.410004,16394200
16-Oct-17,157.899994,159.880005,160,157.649994,24121500
17-Oct-17,159.779999,160.470001,160.869995,159.229996,18997300
18-Oct-17,160.419998,159.759995,160.710007,159.600006,16374200
19-Oct-17,156.75,155.979996,157.080002,155.020004,42584200
20-Oct-17,156.610001,156.25,157.75,155.960007,23974100
23-Oct-17,156.889999,156.169998,157.690002,155.5,21984300
24-Oct-17,156.289993,157.100006,157.419998,156.199997,17757200
25-Oct-17,156.910004,156.410004,157.550003,155.270004,21207100
26-Oct-17,157.229996,157.410004,157.830002,156.779999,17000500
27-Oct-17,159.289993,163.050003,163.600006,158.699997,44454200
30-Oct-17,163.889999,166.720001,168.070007,163.720001,44700800
31-Oct-17,167.899994,169.039993,169.649994,166.940002,36046800
1-Nov-17,169.869995,166.889999,169.940002,165.610001,33637800
2-Nov-17,166.600006,168.110001,168.5,165.279999,41393400
3-Nov-17,174,172.5,174.259995,171.119995,59398600
6-Nov-17,172.369995,174.25,174.990005,171.720001,35026300
7-Nov-17,173.910004,174.809998,175.25,173.600006,24361500
8-Nov-17,174.660004,176.240005,176.240005,174.330002,24409500
9-Nov-17,175.110001,175.880005,176.100006,173.139999,29482600
10-Nov-17,175.110001,174.669998,175.380005,174.270004,25145500
13-Nov-17,173.5,173.970001,174.5,173.399994,16982100
14-Nov-17,173.039993,171.339996,173.479996,171.179993,24782500
15-Nov-17,169.970001,169.080002,170.320007,168.380005,29158100
16-Nov-17,171.179993,171.100006,171.869995,170.300003,23637500
17-Nov-17,171.039993,170.149994,171.389999,169.639999,21899500
20-Nov-17,170.289993,169.979996,170.559998,169.559998,16262400
21-Nov-17,170.779999,173.139999,173.699997,170.779999,25131300
